Algoritmo,Version,n,Resultado,Tiempo_ms
Fibonacci,Iterativo,5,5,0.001190
Fibonacci,Iterativo,10,55,0.000690
Fibonacci,Iterativo,15,610,0.001110
Fibonacci,Iterativo,20,6765,0.001000
Fibonacci,Iterativo,25,75025,0.001120
Fibonacci,Iterativo,30,832040,0.002200
Fibonacci,Recursivo,5,5,0.010190
Fibonacci,Recursivo,10,55,0.023650
Fibonacci,Recursivo,15,610,0.023360
Fibonacci,Recursivo,20,6765,0.086810
Fibonacci,Recursivo,25,75025,0.976200
Fibonacci,Recursivo,30,832040,10.636340
Factorial,Iterativo,5,120,0.256740
Factorial,Recursivo,5,120,0.001740
Factorial,Iterativo,10,3628800,0.001050
Factorial,Recursivo,10,3628800,0.001710
Factorial,Iterativo,15,1307674368000,0.001240
Factorial,Recursivo,15,1307674368000,0.002800
Factorial,Iterativo,20,2432902008176640000,0.001450
Factorial,Recursivo,20,2432902008176640000,0.000450
Factorial,Iterativo,25,15511210043330986000000000,0.001390
Factorial,Recursivo,25,15511210043330986000000000,0.000540
Factorial,Iterativo,30,265252859812191030000000000000000,0.002020
Factorial,Recursivo,30,265252859812191030000000000000000,0.000810
